Sat Apr 20 20:38:39 2019 : writeAudio >> enter
Sat Apr 20 20:38:39 2019 : writeAudio >> enter
Sat Apr 20 20:38:39 2019 : writeAudio >> enter
Sat Apr 20 20:38:39 2019 : writeAudio >> enter
Sat Apr 20 20:38:39 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:40 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:41 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeAudio >> enter
Sat Apr 20 20:38:42 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:43 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:44 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:45 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:45 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:46 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:47 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:48 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:49 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:50 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeAudio >> enter
Sat Apr 20 20:38:51 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:53 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:54 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:56 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:57 2019 : writeSerialRead >>> enter
Sat Apr 20 20:38:59 2019 : writeSerialRead >>> enter
