Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:00 2019 : run >>> audio 
Sat Apr 20 20:40:00 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:01 2019 : run >>> audio 
Sat Apr 20 20:40:01 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:02 2019 : run >>> audio 
Sat Apr 20 20:40:02 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
Sat Apr 20 20:40:03 2019 : run >>> audio 
Sat Apr 20 20:40:03 2019 : run >>> writeAudio
